ESsite,pop,typhoidcases,MS (PCR),NA (PCR),Positive phage,Total samples,cases
102,888,0,1,0,1,29,0
104,332,0,0,2,9,29,0
105,29,2,0,0,4,29,0
106,7127,0,3,1,1,29,2
107,3064,1,0,0,0,29,1
108,18691,5,2,3,13,29,5
110,2975,7,4,4,10,29,13
111,845,2,1,0,2,29,0
112,1007,1,3,1,6,29,2
114,11628,0,1,0,8,28,1
115,721,0,1,1,2,29,0
116,58568,14,1,0,10,29,20
117,126,0,0,0,0,29,1
118,467,0,2,0,0,29,0
120,1045,0,1,1,1,28,0
122,3376,4,9,3,21,28,6
123,2317,1,2,1,3,28,1
126,378,0,0,0,4,29,0
127,462,0,1,1,1,29,0
128,115,0,0,2,0,28,0
129,545,0,0,0,3,28,0
130,4526,1,0,2,2,29,1
134,61,0,0,0,4,29,0
137,15806,0,2,2,0,29,0
138,2435,0,0,0,1,29,0
139,9724,10,1,4,25,28,16
140,121270,52,0,1,6,28,78
141,104894,34,0,1,10,28,53
143,5103,13,3,1,19,28,21
144,2292,0,0,1,2,28,0
145,26995,18,0,0,6,28,28
148,11802,0,0,0,5,28,0
149,11495,0,0,0,7,28,1
150,2695,0,2,0,5,28,0
153,2204,3,0,0,4,28,2
154,1441,2,1,2,12,28,1
155,1132,0,0,0,0,29,0
156,249,0,0,0,2,28,0
157,3146,0,1,0,3,28,0
158,3363,0,0,0,1,29,0
159,498,0,0,0,3,29,0
162,424,0,2,2,1,28,0
163,683,1,0,0,2,28,1
165,18468,3,1,0,4,28,3
171,308,0,2,0,4,28,0
172,5058,1,0,0,6,28,4
173,11657,3,0,1,7,29,3
174,10747,3,0,0,6,29,3
175,576,0,1,0,3,29,0
176,1375,0,0,0,2,29,0
178,1293,0,1,1,1,28,0
179,8183,1,1,1,15,28,1
181,1642,0,3,1,1,28,0
186,1918,0,0,0,0,28,0
