"","site","MS","NA"
"1","102",1,0
"2","104",0,2
"3","105",0,0
"4","106",3,1
"5","107",0,0
"6","108",2,3
"7","110",4,4
"8","111",1,0
"9","112",3,1
"10","114",1,0
"11","115",1,1
"12","116",1,0
"13","117",0,0
"14","118",2,0
"15","120",1,1
"16","122",9,3
"17","123",2,1
"18","126",0,0
"19","127",1,1
"20","128",0,2
"21","129",0,0
"22","130",0,2
"23","134",0,0
"24","137",2,2
"25","138",0,0
"26","139",1,4
"27","140",0,1
"28","141",0,1
"29","143",3,1
"30","144",0,1
"31","145",0,0
"32","148",0,0
"33","149",0,0
"34","150",2,0
"35","153",0,0
"36","154",1,2
"37","155",0,0
"38","156",0,0
"39","157",1,0
"40","158",0,0
"41","159",0,0
"42","162",2,2
"43","163",0,0
"44","165",1,0
"45","171",2,0
"46","172",0,0
"47","173",0,1
"48","174",0,0
"49","175",1,0
"50","176",0,0
"51","178",1,1
"52","179",1,1
"53","181",3,1
"54","186",0,0
