"","site","MS","NA"
"1","102",1,2
"2","104",0,6
"3","105",0,3
"4","106",3,3
"5","107",0,1
"6","108",3,4
"7","110",10,8
"8","111",1,2
"9","112",4,1
"10","114",1,2
"11","115",2,4
"12","116",2,3
"13","117",1,0
"14","118",2,0
"15","120",1,2
"16","122",14,8
"17","123",2,2
"18","126",0,2
"19","127",2,2
"20","128",1,4
"21","129",0,0
"22","130",0,3
"23","134",1,3
"24","137",3,2
"25","138",3,1
"26","139",4,9
"27","140",3,1
"28","141",0,2
"29","143",5,2
"30","144",0,1
"31","145",1,3
"32","148",0,0
"33","149",1,0
"34","150",3,0
"35","153",0,1
"36","154",1,4
"37","155",1,2
"38","156",0,1
"39","157",1,0
"40","158",0,0
"41","159",1,0
"42","162",2,2
"43","163",0,1
"44","165",1,0
"45","171",2,2
"46","172",1,0
"47","173",0,2
"48","174",1,3
"49","175",1,1
"50","176",0,2
"51","178",1,3
"52","179",1,1
"53","181",3,3
"54","186",0,0
