"Site","lat","long_"
"102",12.898583,79.12431
"104",12.895161,79.121945
"105",12.904816,79.124342
"106",12.903579,79.122986
"107",12.902324,79.119451
"108",12.907961,79.127056
"110",12.909919,79.124702
"111",12.910054,79.122157
"112",12.906795,79.123013
"114",12.912155,79.130439
"115",12.913677,79.123787
"116",12.919013,79.123582
"117",12.914211,79.127814
"118",12.909193,79.12928
"120",12.916489,79.13814
"122",12.919595,79.139906
"123",12.913597,79.139621
"126",12.906986,79.137255
"127",12.909265,79.139075
"128",12.911508,79.141634
"129",12.910388,79.144738
"130",12.911877,79.133708
"134",12.90284,79.131785
"137",12.905198,79.128173
"138",12.90038,79.131281
"139",12.926652,79.138628
"140",12.935271,79.133722
"141",12.925585,79.126481
"143",12.924113,79.133662
"144",12.926878,79.122537
"145",12.920045,79.120034
"148",12.903391,79.135415
"149",12.908292,79.133493
"150",12.906863,79.142857
"153",12.921904,79.140813
"154",12.917244,79.13995
"155",12.900245,79.136487
"156",12.898327,79.14269
"157",12.896145,79.140551
"158",12.889954,79.138457
"159",12.888646,79.136328
"162",12.928086,79.133968
"163",12.902983,79.139602
"165",12.891967,79.121079
"171",12.928563,79.1177
"172",12.920713,79.114835
"173",12.891726,79.128089
"174",12.89335,79.13018
"175",12.891321,79.13242
"176",12.884582,79.137673
"178",12.928199,79.107652
"179",12.927317,79.102193
"181",12.927266,79.097835
"186",12.925113,79.092298
