,site,MS,NA
1,128,1,4
2,120,1,2
3,123,5,3
4,129,0,0
5,150,3,0
6,163,0,1
7,156,0,1
8,157,2,0
9,148,0,0
10,149,1,0
11,127,2,2
12,126,0,2
13,155,1,2
14,158,0,0
15,159,1,0
16,176,0,2
17,175,1,2
18,174,1,3
19,173,1,2
20,130,1,3
21,134,1,4
22,138,5,4
23,165,2,0
24,137,3,3
25,118,2,0
26,108,3,4
27,117,1,0
28,116,3,3
29,115,3,4
30,110,14,9
31,111,1,2
32,112,4,1
33,105,1,4
34,106,6,6
35,107,2,1
36,102,1,2
37,104,0,6
38,114,1,3
39,172,1,0
40,145,1,3
41,186,0,0
42,181,3,3
43,179,1,1
44,178,1,3
45,171,2,2
46,144,1,2
47,154,1,4
48,122,16,10
49,153,3,2
50,139,5,10
51,143,7,6
52,141,2,3
53,140,3,1
54,162,3,2
