"Characteristic","Overall","With_Cases","Without_Cases","P_Value"
"Number of sites, n","38","19","19","-"
"Total population, n (%)","64,892 (100%)","46,581 (71.8%)","18,311 (28.2%)","0.00276"
"  0-4 years, n (%)","2,436 (3.8%)","1,802 (3.9%)","634 (3.5%)","0.0141"
"  5-14 years, n (%)","8,890 (13.7%)","6,408 (13.8%)","2,482 (13.6%)","0.51"
"  15-49 years, n (%)","36,844 (56.8%)","26,739 (57.4%)","10,105 (55.2%)","2.99e-07"
"  ≥50 years, n (%)","16,722 (25.8%)","11,632 (25%)","5,090 (27.8%)","1.7e-13"
"SES Class 1 (≥Rs.9130), n (%)","183 (0.3%)","38 (0.1%)","145 (0.8%)","<2e-16"
"SES Class 2 (Rs.4565-9129), n (%)","596 (0.9%)","217 (0.5%)","379 (2.1%)","<2e-16"
"SES Class 3 (Rs.2739-4564), n (%)","931 (1.4%)","588 (1.3%)","343 (1.9%)","9.53e-09"
"SES Class 4 (Rs.1369-2738), n (%)","3,506 (5.4%)","2,789 (6%)","717 (3.9%)","<2e-16"
"SES Class 5 (<Rs.1369), n (%)","11,906 (18.3%)","8,563 (18.4%)","3,343 (18.3%)","0.718"
"Improved drinking water, n (%)","17,067 (99.7%)","12,152 (99.6%)","4,915 (99.8%)","0.298"
"Improved toilet, n (%)","14,801 (86.4%)","10,474 (85.9%)","4,327 (87.8%)","0.000795"
"Total clinical typhoid cases, n","70","70","0","-"
"Total wastewater samples, n (%)","1,855 (100%)","927 (50%)","928 (50%)","-"
"Positive wastewater samples, n (%)","283 (15.3%)","200 (21.6%)","83 (8.9%)","2.19e-14"
"Median HF183 ACN (IQR)","90.5 (1.1-1127.1)","146.8 (4.2-1518)","49 (0-811)","4.03e-06"
"Median rainfall, mm (IQR)","0 (0-0.1)","0 (0-0.1)","0 (0-0.1)","0.724"
"Median temperature, °C (IQR)","29.4 (26.2-31.4)","29.5 (26.4-31.4)","29.4 (26-31.5)","0.821"
"Median flow rate, m³/h (IQR)","97.9 (54.5-173.9)","90.2 (53.2-150)","108.4 (55.4-206)","1.89e-05"
